Network,Dataset,Channel,TP,FP,FN,Precision,Recall,F1
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,0,215,786,9,0.21478521478521478,0.9598214285714286,0.3510204081632653
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,1,203,480,21,0.2972181551976574,0.90625,0.44762954796030874
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,2,183,259,41,0.41402714932126694,0.8169642857142857,0.5495495495495495
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,3,146,112,78,0.5658914728682171,0.6517857142857143,0.6058091286307054
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,4,142,178,82,0.44375,0.6339285714285714,0.5220588235294118
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,5,117,136,107,0.4624505928853755,0.5223214285714286,0.49056603773584906
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,6,113,178,111,0.38831615120274915,0.5044642857142857,0.43883495145631063
dsb4updn_median_200_15f,Amigo2_2019-07-11_11-57-07,7,100,181,124,0.35587188612099646,0.44642857142857145,0.39603960396039606
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,0,24,59,7,0.2891566265060241,0.7741935483870968,0.4210526315789473
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,1,27,62,4,0.30337078651685395,0.8709677419354839,0.45000000000000007
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,2,26,60,5,0.3023255813953488,0.8387096774193549,0.44444444444444436
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,3,25,42,6,0.373134328358209,0.8064516129032258,0.5102040816326532
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,4,25,54,6,0.31645569620253167,0.8064516129032258,0.4545454545454545
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,5,23,32,8,0.41818181818181815,0.7419354838709677,0.5348837209302325
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,6,24,30,7,0.4444444444444444,0.7741935483870968,0.5647058823529412
dsb4updn_median_200_15f,Dlx1_2021-02-12_12-46-54,7,20,23,11,0.46511627906976744,0.6451612903225806,0.5405405405405406
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,0,54,88,10,0.38028169014084506,0.84375,0.5242718446601942
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,1,56,120,8,0.3181818181818182,0.875,0.4666666666666667
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,2,55,89,9,0.3819444444444444,0.859375,0.5288461538461539
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,3,53,83,11,0.3897058823529412,0.828125,0.53
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,4,52,73,12,0.416,0.8125,0.5502645502645502
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,5,51,80,13,0.3893129770992366,0.796875,0.5230769230769231
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,6,46,74,18,0.38333333333333336,0.71875,0.5
dsb4updn_median_200_15f,Som2_2019-07-24_12-01-49,7,41,77,23,0.3474576271186441,0.640625,0.4505494505494506
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,0,114,47,25,0.7080745341614907,0.8201438848920863,0.76
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,1,108,30,31,0.782608695652174,0.7769784172661871,0.7797833935018053
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,2,112,31,27,0.7832167832167832,0.8057553956834532,0.7943262411347518
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,3,96,18,43,0.8421052631578947,0.6906474820143885,0.758893280632411
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,4,79,13,60,0.8586956521739131,0.5683453237410072,0.683982683982684
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,5,59,15,80,0.7972972972972973,0.4244604316546763,0.5539906103286385
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,6,49,6,90,0.8909090909090909,0.35251798561151076,0.5051546391752577
dsb4updn_median_200_15f,Thy7_2020-11-11_16-05-00,7,26,10,113,0.7222222222222222,0.18705035971223022,0.29714285714285715
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,0,215,762,9,0.22006141248720573,0.9598214285714286,0.35803497085761865
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,1,201,461,23,0.30362537764350456,0.8973214285714286,0.45372460496614003
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,2,184,234,40,0.44019138755980863,0.8214285714285714,0.573208722741433
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,3,144,102,80,0.5853658536585366,0.6428571428571429,0.6127659574468085
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,4,145,162,79,0.4723127035830619,0.6473214285714286,0.5461393596986818
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,5,114,124,110,0.4789915966386555,0.5089285714285714,0.49350649350649345
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,6,111,163,113,0.4051094890510949,0.4955357142857143,0.4457831325301205
dsb4updn_median_200_11b,Amigo2_2019-07-11_11-57-07,7,95,162,129,0.36964980544747084,0.42410714285714285,0.39501039501039503
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,0,24,60,7,0.2857142857142857,0.7741935483870968,0.417391304347826
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,1,25,60,6,0.29411764705882354,0.8064516129032258,0.43103448275862066
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,2,25,56,6,0.30864197530864196,0.8064516129032258,0.4464285714285714
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,3,25,35,6,0.4166666666666667,0.8064516129032258,0.5494505494505494
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,4,26,47,5,0.3561643835616438,0.8387096774193549,0.5
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,5,22,30,9,0.4230769230769231,0.7096774193548387,0.5301204819277108
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,6,25,25,6,0.5,0.8064516129032258,0.6172839506172839
dsb4updn_median_200_11b,Dlx1_2021-02-12_12-46-54,7,18,17,13,0.5142857142857142,0.5806451612903226,0.5454545454545455
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,0,51,83,13,0.3805970149253731,0.796875,0.515151515151515
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,1,56,114,8,0.32941176470588235,0.875,0.4786324786324786
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,2,55,73,9,0.4296875,0.859375,0.5729166666666666
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,3,52,70,12,0.4262295081967213,0.8125,0.5591397849462365
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,4,53,62,11,0.4608695652173913,0.828125,0.5921787709497207
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,5,49,62,15,0.44144144144144143,0.765625,0.56
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,6,48,63,16,0.43243243243243246,0.75,0.5485714285714286
dsb4updn_median_200_11b,Som2_2019-07-24_12-01-49,7,43,59,21,0.4215686274509804,0.671875,0.5180722891566265
dsb4updn_median_200_11b,Thy7_2020-11-11_16-05-00,0,116,43,23,0.7295597484276729,0.8345323741007195,0.7785234899328859
dsb4updn_median_200_11b,Thy7_2020-11-11_16-05-00,1,107,30,32,0.781021897810219,0.7697841726618705,0.7753623188405797
